vd,vg,id_sim,gm_sim
16.7,-3.0,1.8431892166808946e-05,5.51838564657896e-06
16.8,-3.0,1.8667727477311287e-05,5.719529235047712e-06
16.900000000000002,-3.0,1.890672604825505e-05,5.926335193853751e-06
17.0,-3.0,1.914893683647138e-05,6.138924136909917e-06
17.1,-3.0,1.9394409448011616e-05,6.357418418483429e-06
17.2,-3.0,1.9643194145205976e-05,6.581942147155164e-06
17.3,-3.0,1.9895341853909724e-05,6.812621193326327e-06
17.400000000000002,-3.0,2.0150904170760173e-05,7.049583200898836e-06
17.5,-3.0,2.0409933370457353e-05,7.292957595767164e-06
17.6,-3.0,2.067248241338861e-05,7.542875596206932e-06
17.7,-3.0,2.0938604952766224e-05,7.799470221072892e-06
